X,Y,Facility,County,Address,City,ZipCode,Type,ResidentialWellsSampled,SiteLead,SiteLeadEmail,SiteLeadPhone,Hyperlink,Longitude,Latitude,Tier,SiteType,Status,Location,Military,Comment,FacilityOrder,FacilityDate,GlobalID,SiteBackground,DrinkingWaterInformation,AnticipatedActivities,OBJECTID
530645.8136,283883.2485,Belmont - House St.,Kent County,1855 House Street,Rockford,49341,Landfill,Yes,Leah Gies,giesl1@michigan.gov,616-215-4781,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/kent-county/house-street-disposal-area,-85.621686,43.105358,1,Site,Final,Rockford,No,,,,{FFD13567-4CAC-4D0D-B901-82D957E592D3},,,,1
535639.9539,285813.4498,Rockford Tannery,Kent County,123 North Main Street,Rockford,49341,Tannery,No,Leah Gies,giesl1@michigan.gov,616-215-4781,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/kent-county/rockford-tannery,-85.560182,43.122506,1,Site,Final,Rockford,No,,,,{CFC91795-3C71-4421-9DA1-CB87E0B6162D},,,,2
595995.9029,453496.2948,Camp Grayling - Lake Margrethe,Crawford County ,Camp Grayling - Lake Margrethe Area,Grayling,49738,Military,Yes,Lisa Kruse,KruseL@Michigan.gov,989-370-1424,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/crawford-county/camp-grayling-lake-margrethe,-84.78779,44.626681,1,Site,Final,Grayling,Yes,,,,{680012E1-B56F-4FAF-B1F4-EB2BA7A87C96},,,,3
393098.3985,645118.6682,K.I. Sawyer AFB,Marquette County,225 Airport Ave,Gwinn,49841,Military,Yes,Kenneth Heitkamp,HeitkampK@Michigan.gov,517-930-5218,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/marquette-county/ki-sawyer-air-force-base,-87.3873,46.3496,2,Site,Final,Gwinn,Yes,,,2017/10/31 16:00:00+00,{BDB2EA44-8C27-432B-8281-B8F9ADEEE00A},,,,4
710363.1497,437621.2386,Wurtsmith AFB,Iosco County ,No Address - former Air Force Base,Oscoda,48750,Military,Yes,Amy Handley,HandleyA@Michigan.gov,517-898-3356,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/iosco-county/wurtsmith,-83.353421,44.459534,1,Site,Final,Oscoda,Yes,,,2019/05/01 16:00:00+00,{725C2D9F-0EC2-4CAE-85AA-9A2E312A37CB},,,,5
718905.9787,280000.1981,Lapeer Plating & Plastics,Lapeer County,395 Demille Road,"Lapeer
",48446,Plating,No,Brian Zuber,ZuberB@Michigan.gov,517-388-0267,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/lapeer-county/lapeer-plating-plastics,-83.310559,43.03889,2,Site,Final,Lapeer,No,,,2017/11/01 00:00:00+00,{611EF353-C1CB-4456-BA9D-76EDF25C732A},,,,6
615458.07,244190.0087,Adams Plating,Ingham County,521 N. Rosemary,Lansing,48917,Plating,No,Mark Reimann,ReimannM@Michigan.gov ,517-290-9379,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/ingham-county/adams-plating,-84.587871,42.73954,3,Site,Final,Lansing,No,,,,{6ECE3D2F-6A49-4E72-8A34-3D38D7F85DB8},,,,7
701671.2614,505546.3113,Alpena Hide and Leather Co.,Alpena County,817 and 819 W. Miller Street,Alpena,21154,Tannery,No,Janice Adams,AdamsJ1@Michigan.gov ,989-619-4211,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/alpena-county/alpena-hide-and-leather,-83.435792,45.07299,2,Site,Final,Alpena,No,,,2018/01/09 17:00:00+00,{00327F3D-6378-42A1-80BA-0FB5FD52CF24},,,,8
710782.8454,435500.5865,Whispering Pines MHC,Iosco County,4263 Bissonette,Oscoda,48750,Military,Yes,Beth Place,PlaceB1@Michigan.gov,517-899-7524,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/iosco-county/oscoda-area,-83.349011,44.440336,1,Site,Final,Oscoda,Yes,,,,{4B85FC24-303F-4E2F-8BD9-3024D95C6EFB},,,,9
688323.7499,285649.8772,Coldwater Road Landfill & Peregrine,Genesee County ,1245 Coldwater Road,Flint,48458,Landfill,Yes,Nicole Sanabria,SanabriaN@Michigan.gov,517-281-7726,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/genesee-county/coldwater-road-landfill,-83.683883,43.098026,1,Site,Final,Flint,No,,,,{3B21DB23-AB12-4006-977A-A461947670AC},,,,10
598157.763,340891.3083,Roosevelt Refinery,Isabella County,600 W Pickard Street,Mount Pleasant,48858,Refinery,No,Larry Engelhart,EngelhartL@Michigan.gov ,989-891-6946,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/isabella-county/roosevelt-refinery,-84.781676,43.612701,2,Site,Final,Mt. Pleasant,No,,,,{8F95949E-CBAD-4914-B89E-439DBE8079FF},,,,11
691444.5039,504681.3669,Alpena Combat Readiness Center,Alpena County,5884 A St.,Alpena,49707,Military,Yes,Christiaan Bon,BonC@Michigan.gov,989-370-9624,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/alpena-county/alpena-crtc,-83.56593683,45.06803886,1,Site,Final,Alpena,Yes,,,,{690ADDAF-2FF4-4E37-8655-592F9360D72E},,,,13
417358.5952,582748.0982,Escanaba Defense Fuel Supply Point,Delta County,6734 P Road,Escanaba,49829,Military,Yes,Kenneth Heitkamp,HeitkampK@Michigan.gov,517-930-5218,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/delta-county/escanaba-dfsp,-87.06124303,45.79168882,3,Site,Final,Escanaba,Yes,,,2017/10/31 16:00:00+00,{18E80B4E-15AD-4A81-919F-E33869580BB7},,,,14
709335.2679,439220.4378,Van Etten Lake,Iosco County,No address - Lake,Oscoda,48750,Military,Yes,Beth Place,PlaceB1@Michigan.gov,517-899-7524,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/iosco-county/oscoda-area,-83.36568555,44.47421724,1,Site,Final,Oscoda,Yes,,,2017/11/03 00:00:00+00,{1E98D017-DD85-4903-8604-13AD01241B93},,,,15
709672.1178,439856.7098,Loud Drive,Iosco County,No Address - large area of homes - E. side of Van Etten Lake,Oscoda,48750,MIlitary,Yes,Megan Berry,BerryM5@Michigan.gov,989-295-3877,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/iosco-county/oscoda-area,-83.36119628,44.47984324,1,Site,Final,Oscoda,No,,,2017/11/03 00:00:00+00,{BB2AE1F0-2DF0-486F-AC3A-B5FACF92DF39},,,,16
707445.2706,440348.8373,Colbath Road,Iosco County,No Address - large area of homes,Oscoda,48750,Fire Related,Yes,Megan Berry,BerryM5@Michigan.gov,989-295-3877,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/iosco-county/oscoda-area,-83.38897836,44.48491182,1,Site,Final,Oscoda,No,,,2017/11/03 00:00:00+00,{724729D3-7AEB-4999-9255-68CE6151342E},,,,17
708883.9411,433508.8476,Oscoda Area Schools,Iosco County,3550 River Road,Oscoda,48750,Unknown,Yes,Megan Berry,BerryM5Michigan.gov,989-295-3877,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/iosco-county/oscoda-area,-83.37365458,44.42296907,1,Site,Final,Oscoda,No,,,2017/11/03 00:00:00+00,{E84884E7-B99D-4F7E-A142-52085FE81076},,,,18
704785.1072,442843.9799,McDonald Store Fire (aka F-41),Iosco County,No address-business burned-corner of F-41 and King's Corner Road,Oscoda,48750,Fire Related,Yes,Megan Berry,BerryM5@Michigan.gov,989-295-3877,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/iosco-county/oscoda-area,-83.42141847,44.50811494,1,Site,Final,Oscoda,No,,,2017/11/03 00:00:00+00,{4E7BB15B-E167-48EA-9E02-73C790020B77},,,,19
533486.2113,275938.2853,State Disposal Superfund,Kent County,3954 East Beltline Rd,Grand Rapids,49525,Landfill,Yes,Erik Martinson,MartinsonE@michigan.gov,517-285-3978,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/kent-county/state-disposal-superfund-site,-85.58728976,43.03369008,2,Site,Final,Plainfield Township,No,,,2017/11/03 00:00:00+00,{EB4397C6-B864-4F59-95B3-61BF6E14A104},,,,20
615735.7148,243972.2833,"RACER Lansing Plants 2,3,6",Ingham County,2800 West Saginaw Street; 2801 West Saginaw Street; Corner of W. MI Ave and N. Verlinden,Lansing,48917,Industrial,No,Christine Matlock,MatlockC2@Michigan.gov,517-290-4612,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/ingham-county/racer-plants-2-3-6,-84.58452515,42.73753664,2,Site,Final,Lansing,No,,,2017/11/03 00:00:00+00,{FFCBBBCA-98AA-4C81-95A9-B031B1885593},,,,21
486801.1186,143348.4257,M-60 Tanker Spill,Cass County,2900 Pine Lake Street,Niles,49120,Fire Related,Yes,"Donovan Thomas
","ThomasD38@Michigan.gov 
","269-615-4451

",https://www.michigan.gov/pfasresponse/investigations/sites-aoi/cass-county/m-60-tanker-spill,-86.158,41.84061,2,Site,Final,Howard Township,No,,,2018/03/12 00:00:00+00,{66E16BB2-3DD8-4F27-A452-41348D169405},,,,22
539599.228,308922.0671,Central Sanitary Landfill,Montcalm County,21545 W Cannonsville Road,Pierson,49339,Landfill,Yes,Kent Walters,WaltersK7@Michigan.gov ,616-278-4350,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/montcalm-county/central-sanitary-landfill,-85.50977398,43.33037523,2,Site,Final,Pierson,No,,,2018/05/02 00:00:00+00,{C1B911CF-03ED-4BC7-AA1B-2F9B8877B4F3},,,,23
546097.8349,203091.2638,North 34th Street,Kalamazoo County,9899 East D Ave,Richland,49083,Industrial,Yes,Rachel Golota,GolotaR@Michigan.gov,269-370-2404,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/kalamazoo-county/north-34th-street,-85.43879246,42.37701665,2,Site,Final,Richland,No,,,2018/06/27 00:00:00+00,{85C1D8BC-B3E6-4B99-B987-B9483B67D796},,,,24
525221.8536,456818.6423,Carl's Retreading,Grand Traverse County,5175 Sawyer Woods Drive,Traverse City,49685,Fire Related,Yes,David Maynard,MaynardD@Michigan.gov,231-429-1656,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/grand-traverse-county/carls-retreading,-85.67982625,44.66259046,3,Site,Final,Grawn,No,,,2018/07/23 00:00:00+00,{8C3B4F18-A2F4-4E58-B022-716D940B2575},,,,25
534981.3824,199295.6737,Crown Vantage Property,Kalamazoo County,100 Island Avenue (multiple addresses),Parchment,49004,Landfill,Yes,Rachel Golota,GolotaR@Michigan.gov,269-370-2404,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/kalamazoo-county/crown-vantage-property,-85.57406045,42.34346935,2,Site,Final,Parchment,No,,,2018/09/04 00:00:00+00,{45B0CF22-1C3E-4614-BE4A-5DBD146D2676},,,,26
703948.3017,290108.0951,Richfield Landfill,Genesee County,11145 East Mt Morris Rd,Davison,48423,Landfill,Yes,Evin Maguire,MaguireE@Michigan.gov ,517-388-3525,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/genesee-county/richfield-landfill,-83.49033534,43.13406472,2,Site,Final,Davison,No,,,2017/11/03 00:00:00+00,{9CDCF9DC-779E-489E-A3AE-A03854A60CA1},,,,27
688431.1479,279380.6047,RACER Buick City,Genesee County ,902 East Leith St,Flint,48505,Industrial,No,Nicole Sanabria,SanabriaN@Michigan.gov,517-281-7726,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/genesee-county/racer-buick-city,-83.68471157,43.04157036,1,Site,Final,Flint,No,,,2018/09/17 00:00:00+00,{459A0D49-C229-4585-8EB7-2D123BCAFDDE},,,,28
511660.3858,366876.7245,Wash King Laundry,Lake County,9247 South M-37,Baldwin,49304,Laundromat/Dry Cleaner,Yes,Mark Riemann,ReimannM@michigan.gov,517-290-9379,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/lake-county/wash-king-laundry,-85.85299967,43.85319927,2,Site,Final,Baldwin,No,,,2018/10/17 00:00:00+00,{F6226EFB-480D-4058-A396-7DB9B6F8FE50},,,,29
537729.8807,264970.8537,Lacks Industries - Cascade,Kent County,1601 Galbraith Ave SE,Grand Rapids,49546,Plating,Yes,Nicole Sanabria,SanabriaN@Michigan.gov,517-281-7726,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/kent-county/lacks-industries-cascade,-85.53598708,42.934722,2,Site,Final,Grand Rapids,No,,,2018/10/17 00:00:00+00,{3A93F834-CFC2-43C4-9B4B-B301FA354ACC},,,,30
473683.5055,410842.5019,Manistee Plating,Manistee County,259 Sixth Ave,Manistee,49660,Plating,No,Brandi Wheeler,WheelerB5@Michigan.gov,231-878-8066,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/manistee-county/manistee-plating,-86.32762564,44.24867952,3,Site,Final,Manistee,No,,,2018/10/17 00:00:00+00,{7706CBF4-AF62-4C1F-878E-CC381FFE8860},,,,31
