Field Name,Description
LabSampleId,The sample ID provided by the analytical laboratory
SiteCode,The sampling location name
CocSampleId,The sample ID listed on chain of custody provided to the analytical laboratory
SampleType,An expanded description of what type of sample was collected
LabName,The name of the analytical laboratory used for analysis of the sample
LabJobName,The analytical laboratories job/work order name
Matrix,The environmental matrix sampled
CollectionDate,The date that the sample was collected
AnalysisMethod,The analysis method used by the analytical laboratory to analyze the sample
DilutionFactor,The dilution factor used by the analytical laboratory during sample preparation
AnalysisDate,The date that the analysis was conducted by the analytical laboratory
Duplicate,A description of what type of sample was collected
Unit,"The units, provided by the analytical laboratory, of concentration for the analysis"
Watershed,The watershed that the sample was collected from
VisitID,The identification number of the sampling event
SampleDepth,An expanded description of the sampling depth
CAS307244_PFHxA,The concentration of PFHxA in the sample
CAS307244_PFHxAFlag,A note from the analytical laboratory with additional information about the analysis of PFHxA
CAS307244_PFHxAMdl,The analytical laboratories method detection limit for PFHxA
CAS307244_PFHxARl,The analytical laboratories reporting limit for PFHxA
CAS307551_PFDoA,The concentration of PFDoA in the sample
CAS307551_PFDoAFlag,A note from the analytical laboratory with additional information about the analysis of PFDoA
CAS307551_PFDoAMdl,The analytical laboratories method detection limit for PFDoA
CAS307551_PFDoARl,The analytical laboratories reporting limit for PFDoA
CAS335671_PFOA,The concentration of PFOA in the sample
CAS335671_PFOAFlag,A note from the analytical laboratory with additional information about the analysis of PFOA
CAS335671_PFOAMdl,The analytical laboratories method detection limit for PFOA
CAS335671_PFOARl,The analytical laboratories reporting limit for PFOA
CAS335762_PFDA,The concentration of PFDA in the sample
CAS335762_PFDAFlag,A note from the analytical laboratory with additional information about the analysis of PFDA
CAS335762_PFDAMdl,The analytical laboratories method detection limit for PFDA
CAS335762_PFDARl,The analytical laboratories reporting limit for PFDA
CAS335773_PFDS,The concentration of PFDS in the sample
CAS335773_PFDSFlag,A note from the analytical laboratory with additional information about the analysis of PFDS
CAS335773_PFDSMdl,The analytical laboratories method detection limit for PFDS
CAS335773_PFDSRl,The analytical laboratories reporting limit for PFDS
CAS355464_PFHxS,The concentration of PFHxS in the sample
CAS355464_PFHxSFlag,A note from the analytical laboratory with additional information about the analysis of PFHxS
CAS355464_PFHxSMdl,The analytical laboratories method detection limit for PFHxS
CAS355464_PFHxSRl,The analytical laboratories reporting limit for PFHxS
CAS356025_33FTCA,The concentration of 3:3 FTCA in the sample
CAS356025_33FTCAFlag,A note from the analytical laboratory with additional information about the analysis of 3:3 FTCA
CAS356025_33FTCAMdl,The analytical laboratories method detection limit for 3:3 FTCA
CAS356025_33FTCARl,The analytical laboratories reporting limit for 3:3 FTCA
CAS375224_PFBA,The concentration of PFBA in the sample
CAS375224_PFBAFlag,A note from the analytical laboratory with additional information about the analysis of PFBA
CAS375224_PFBAMdl,The analytical laboratories method detection limit for PFBA
CAS375224_PFBARl,The analytical laboratories reporting limit for PFBA
CAS375735_PFBS,The concentration of PFBS in the sample
CAS375735_PFBSFlag,A note from the analytical laboratory with additional information about the analysis of PFBS
CAS375735_PFBSMdl,The analytical laboratories method detection limit for PFBS
CAS375735_PFBSRl,The analytical laboratories reporting limit for PFBS
CAS375859_PFHpA,The concentration of PFHpA in the sample
CAS375859_PFHpAFlag,A note from the analytical laboratory with additional information about the analysis of PFHpA
CAS375859_PFHpAMdl,The analytical laboratories method detection limit for PFHpA
CAS375859_PFHpARl,The analytical laboratories reporting limit for PFHpA
CAS375928_PFHpS,The concentration of PFHpS in the sample
CAS375928_PFHpSFlag,A note from the analytical laboratory with additional information about the analysis of PFHpS
CAS375928_PFHpSMdl,The analytical laboratories method detection limit for PFHpS
CAS375928_PFHpSRl,The analytical laboratories reporting limit for PFHpS
CAS375951_PFNA,The concentration of PFNA in the sample
CAS375951_PFNAFlag,A note from the analytical laboratory with additional information about the analysis of PFNA
CAS375951_PFNAMdl,The analytical laboratories method detection limit for PFNA
CAS375951_PFNARl,The analytical laboratories reporting limit for PFNA
CAS376067_PFTeA,The concentration of PFTeA in the sample
CAS376067_PFTeAFlag,A note from the analytical laboratory with additional information about the analysis of PFTeA
CAS376067_PFTeAMdl,The analytical laboratories method detection limit for PFTeA
CAS376067_PFTeARl,The analytical laboratories reporting limit for PFTeA
CAS646833_PFecHS,The concentration of PFecHS in the sample
CAS646833_PFecHSFlag,A note from the analytical laboratory with additional information about the analysis of PFecHS
